Date,Year,Quarter,Month,Month_Name,Week,Day,Day_Name,Is_Weekend
2023-10-29,2023,4,10,October,43,29,Sunday,True
2023-10-30,2023,4,10,October,44,30,Monday,False
2023-10-31,2023,4,10,October,44,31,Tuesday,False
2023-11-01,2023,4,11,November,44,1,Wednesday,False
2023-11-02,2023,4,11,November,44,2,Thursday,False
2023-11-03,2023,4,11,November,44,3,Friday,False
2023-11-04,2023,4,11,November,44,4,Saturday,True
2023-11-05,2023,4,11,November,44,5,Sunday,True
2023-11-06,2023,4,11,November,45,6,Monday,False
2023-11-07,2023,4,11,November,45,7,Tuesday,False
2023-11-08,2023,4,11,November,45,8,Wednesday,False
2023-11-09,2023,4,11,November,45,9,Thursday,False
2023-11-10,2023,4,11,November,45,10,Friday,False
2023-11-11,2023,4,11,November,45,11,Saturday,True
2023-11-12,2023,4,11,November,45,12,Sunday,True
2023-11-13,2023,4,11,November,46,13,Monday,False
2023-11-14,2023,4,11,November,46,14,Tuesday,False
2023-11-15,2023,4,11,November,46,15,Wednesday,False
2023-11-16,2023,4,11,November,46,16,Thursday,False
2023-11-17,2023,4,11,November,46,17,Friday,False
2023-11-18,2023,4,11,November,46,18,Saturday,True
2023-11-19,2023,4,11,November,46,19,Sunday,True
2023-11-20,2023,4,11,November,47,20,Monday,False
2023-11-21,2023,4,11,November,47,21,Tuesday,False
2023-11-22,2023,4,11,November,47,22,Wednesday,False
2023-11-23,2023,4,11,November,47,23,Thursday,False
2023-11-24,2023,4,11,November,47,24,Friday,False
2023-11-25,2023,4,11,November,47,25,Saturday,True
2023-11-26,2023,4,11,November,47,26,Sunday,True
2023-11-27,2023,4,11,November,48,27,Monday,False
2023-11-28,2023,4,11,November,48,28,Tuesday,False
2023-11-29,2023,4,11,November,48,29,Wednesday,False
2023-11-30,2023,4,11,November,48,30,Thursday,False
2023-12-01,2023,4,12,December,48,1,Friday,False
2023-12-02,2023,4,12,December,48,2,Saturday,True
2023-12-03,2023,4,12,December,48,3,Sunday,True
2023-12-04,2023,4,12,December,49,4,Monday,False
2023-12-05,2023,4,12,December,49,5,Tuesday,False
2023-12-06,2023,4,12,December,49,6,Wednesday,False
2023-12-07,2023,4,12,December,49,7,Thursday,False
2023-12-08,2023,4,12,December,49,8,Friday,False
2023-12-09,2023,4,12,December,49,9,Saturday,True
2023-12-10,2023,4,12,December,49,10,Sunday,True
2023-12-11,2023,4,12,December,50,11,Monday,False
2023-12-12,2023,4,12,December,50,12,Tuesday,False
2023-12-13,2023,4,12,December,50,13,Wednesday,False
2023-12-14,2023,4,12,December,50,14,Thursday,False
2023-12-15,2023,4,12,December,50,15,Friday,False
2023-12-16,2023,4,12,December,50,16,Saturday,True
2023-12-17,2023,4,12,December,50,17,Sunday,True
2023-12-18,2023,4,12,December,51,18,Monday,False
2023-12-19,2023,4,12,December,51,19,Tuesday,False
2023-12-20,2023,4,12,December,51,20,Wednesday,False
2023-12-21,2023,4,12,December,51,21,Thursday,False
2023-12-22,2023,4,12,December,51,22,Friday,False
2023-12-23,2023,4,12,December,51,23,Saturday,True
2023-12-24,2023,4,12,December,51,24,Sunday,True
2023-12-25,2023,4,12,December,52,25,Monday,False
2023-12-26,2023,4,12,December,52,26,Tuesday,False
2023-12-27,2023,4,12,December,52,27,Wednesday,False
2023-12-28,2023,4,12,December,52,28,Thursday,False
2023-12-29,2023,4,12,December,52,29,Friday,False
2023-12-30,2023,4,12,December,52,30,Saturday,True
2023-12-31,2023,4,12,December,52,31,Sunday,True
2024-01-01,2024,1,1,January,1,1,Monday,False
2024-01-02,2024,1,1,January,1,2,Tuesday,False
2024-01-03,2024,1,1,January,1,3,Wednesday,False
2024-01-04,2024,1,1,January,1,4,Thursday,False
2024-01-05,2024,1,1,January,1,5,Friday,False
2024-01-06,2024,1,1,January,1,6,Saturday,True
2024-01-07,2024,1,1,January,1,7,Sunday,True
2024-01-08,2024,1,1,January,2,8,Monday,False
2024-01-09,2024,1,1,January,2,9,Tuesday,False
2024-01-10,2024,1,1,January,2,10,Wednesday,False
2024-01-11,2024,1,1,January,2,11,Thursday,False
2024-01-12,2024,1,1,January,2,12,Friday,False
2024-01-13,2024,1,1,January,2,13,Saturday,True
2024-01-14,2024,1,1,January,2,14,Sunday,True
2024-01-15,2024,1,1,January,3,15,Monday,False
2024-01-16,2024,1,1,January,3,16,Tuesday,False
2024-01-17,2024,1,1,January,3,17,Wednesday,False
2024-01-18,2024,1,1,January,3,18,Thursday,False
2024-01-19,2024,1,1,January,3,19,Friday,False
2024-01-20,2024,1,1,January,3,20,Saturday,True
2024-01-21,2024,1,1,January,3,21,Sunday,True
2024-01-22,2024,1,1,January,4,22,Monday,False
2024-01-23,2024,1,1,January,4,23,Tuesday,False
2024-01-24,2024,1,1,January,4,24,Wednesday,False
2024-01-25,2024,1,1,January,4,25,Thursday,False
2024-01-26,2024,1,1,January,4,26,Friday,False
2024-01-27,2024,1,1,January,4,27,Saturday,True
2024-01-28,2024,1,1,January,4,28,Sunday,True
2024-01-29,2024,1,1,January,5,29,Monday,False
2024-01-30,2024,1,1,January,5,30,Tuesday,False
2024-01-31,2024,1,1,January,5,31,Wednesday,False
2024-02-01,2024,1,2,February,5,1,Thursday,False
2024-02-02,2024,1,2,February,5,2,Friday,False
2024-02-03,2024,1,2,February,5,3,Saturday,True
2024-02-04,2024,1,2,February,5,4,Sunday,True
2024-02-05,2024,1,2,February,6,5,Monday,False
2024-02-06,2024,1,2,February,6,6,Tuesday,False
2024-02-07,2024,1,2,February,6,7,Wednesday,False
2024-02-08,2024,1,2,February,6,8,Thursday,False
2024-02-09,2024,1,2,February,6,9,Friday,False
2024-02-10,2024,1,2,February,6,10,Saturday,True
2024-02-11,2024,1,2,February,6,11,Sunday,True
2024-02-12,2024,1,2,February,7,12,Monday,False
2024-02-13,2024,1,2,February,7,13,Tuesday,False
2024-02-14,2024,1,2,February,7,14,Wednesday,False
2024-02-15,2024,1,2,February,7,15,Thursday,False
2024-02-16,2024,1,2,February,7,16,Friday,False
2024-02-17,2024,1,2,February,7,17,Saturday,True
2024-02-18,2024,1,2,February,7,18,Sunday,True
2024-02-19,2024,1,2,February,8,19,Monday,False
2024-02-20,2024,1,2,February,8,20,Tuesday,False
2024-02-21,2024,1,2,February,8,21,Wednesday,False
2024-02-22,2024,1,2,February,8,22,Thursday,False
2024-02-23,2024,1,2,February,8,23,Friday,False
2024-02-24,2024,1,2,February,8,24,Saturday,True
2024-02-25,2024,1,2,February,8,25,Sunday,True
2024-02-26,2024,1,2,February,9,26,Monday,False
2024-02-27,2024,1,2,February,9,27,Tuesday,False
2024-02-28,2024,1,2,February,9,28,Wednesday,False
2024-02-29,2024,1,2,February,9,29,Thursday,False
2024-03-01,2024,1,3,March,9,1,Friday,False
2024-03-02,2024,1,3,March,9,2,Saturday,True
2024-03-03,2024,1,3,March,9,3,Sunday,True
2024-03-04,2024,1,3,March,10,4,Monday,False
2024-03-05,2024,1,3,March,10,5,Tuesday,False
2024-03-06,2024,1,3,March,10,6,Wednesday,False
2024-03-07,2024,1,3,March,10,7,Thursday,False
2024-03-08,2024,1,3,March,10,8,Friday,False
2024-03-09,2024,1,3,March,10,9,Saturday,True
2024-03-10,2024,1,3,March,10,10,Sunday,True
2024-03-11,2024,1,3,March,11,11,Monday,False
2024-03-12,2024,1,3,March,11,12,Tuesday,False
2024-03-13,2024,1,3,March,11,13,Wednesday,False
2024-03-14,2024,1,3,March,11,14,Thursday,False
2024-03-15,2024,1,3,March,11,15,Friday,False
2024-03-16,2024,1,3,March,11,16,Saturday,True
2024-03-17,2024,1,3,March,11,17,Sunday,True
2024-03-18,2024,1,3,March,12,18,Monday,False
2024-03-19,2024,1,3,March,12,19,Tuesday,False
2024-03-20,2024,1,3,March,12,20,Wednesday,False
2024-03-21,2024,1,3,March,12,21,Thursday,False
2024-03-22,2024,1,3,March,12,22,Friday,False
2024-03-23,2024,1,3,March,12,23,Saturday,True
2024-03-24,2024,1,3,March,12,24,Sunday,True
2024-03-25,2024,1,3,March,13,25,Monday,False
2024-03-26,2024,1,3,March,13,26,Tuesday,False
2024-03-27,2024,1,3,March,13,27,Wednesday,False
2024-03-28,2024,1,3,March,13,28,Thursday,False
2024-03-29,2024,1,3,March,13,29,Friday,False
2024-03-30,2024,1,3,March,13,30,Saturday,True
2024-03-31,2024,1,3,March,13,31,Sunday,True
2024-04-01,2024,2,4,April,14,1,Monday,False
2024-04-02,2024,2,4,April,14,2,Tuesday,False
2024-04-03,2024,2,4,April,14,3,Wednesday,False
2024-04-04,2024,2,4,April,14,4,Thursday,False
2024-04-05,2024,2,4,April,14,5,Friday,False
2024-04-06,2024,2,4,April,14,6,Saturday,True
2024-04-07,2024,2,4,April,14,7,Sunday,True
2024-04-08,2024,2,4,April,15,8,Monday,False
2024-04-09,2024,2,4,April,15,9,Tuesday,False
2024-04-10,2024,2,4,April,15,10,Wednesday,False
2024-04-11,2024,2,4,April,15,11,Thursday,False
2024-04-12,2024,2,4,April,15,12,Friday,False
2024-04-13,2024,2,4,April,15,13,Saturday,True
2024-04-14,2024,2,4,April,15,14,Sunday,True
2024-04-15,2024,2,4,April,16,15,Monday,False
2024-04-16,2024,2,4,April,16,16,Tuesday,False
2024-04-17,2024,2,4,April,16,17,Wednesday,False
2024-04-18,2024,2,4,April,16,18,Thursday,False
2024-04-19,2024,2,4,April,16,19,Friday,False
2024-04-20,2024,2,4,April,16,20,Saturday,True
2024-04-21,2024,2,4,April,16,21,Sunday,True
2024-04-22,2024,2,4,April,17,22,Monday,False
2024-04-23,2024,2,4,April,17,23,Tuesday,False
2024-04-24,2024,2,4,April,17,24,Wednesday,False
2024-04-25,2024,2,4,April,17,25,Thursday,False
2024-04-26,2024,2,4,April,17,26,Friday,False
2024-04-27,2024,2,4,April,17,27,Saturday,True
2024-04-28,2024,2,4,April,17,28,Sunday,True
2024-04-29,2024,2,4,April,18,29,Monday,False
2024-04-30,2024,2,4,April,18,30,Tuesday,False
2024-05-01,2024,2,5,May,18,1,Wednesday,False
2024-05-02,2024,2,5,May,18,2,Thursday,False
2024-05-03,2024,2,5,May,18,3,Friday,False
2024-05-04,2024,2,5,May,18,4,Saturday,True
2024-05-05,2024,2,5,May,18,5,Sunday,True
2024-05-06,2024,2,5,May,19,6,Monday,False
2024-05-07,2024,2,5,May,19,7,Tuesday,False
2024-05-08,2024,2,5,May,19,8,Wednesday,False
2024-05-09,2024,2,5,May,19,9,Thursday,False
2024-05-10,2024,2,5,May,19,10,Friday,False
2024-05-11,2024,2,5,May,19,11,Saturday,True
2024-05-12,2024,2,5,May,19,12,Sunday,True
2024-05-13,2024,2,5,May,20,13,Monday,False
2024-05-14,2024,2,5,May,20,14,Tuesday,False
2024-05-15,2024,2,5,May,20,15,Wednesday,False
2024-05-16,2024,2,5,May,20,16,Thursday,False
2024-05-17,2024,2,5,May,20,17,Friday,False
2024-05-18,2024,2,5,May,20,18,Saturday,True
2024-05-19,2024,2,5,May,20,19,Sunday,True
2024-05-20,2024,2,5,May,21,20,Monday,False
2024-05-21,2024,2,5,May,21,21,Tuesday,False
2024-05-22,2024,2,5,May,21,22,Wednesday,False
2024-05-23,2024,2,5,May,21,23,Thursday,False
2024-05-24,2024,2,5,May,21,24,Friday,False
2024-05-25,2024,2,5,May,21,25,Saturday,True
2024-05-26,2024,2,5,May,21,26,Sunday,True
2024-05-27,2024,2,5,May,22,27,Monday,False
2024-05-28,2024,2,5,May,22,28,Tuesday,False
2024-05-29,2024,2,5,May,22,29,Wednesday,False
2024-05-30,2024,2,5,May,22,30,Thursday,False
2024-05-31,2024,2,5,May,22,31,Friday,False
2024-06-01,2024,2,6,June,22,1,Saturday,True
2024-06-02,2024,2,6,June,22,2,Sunday,True
2024-06-03,2024,2,6,June,23,3,Monday,False
2024-06-04,2024,2,6,June,23,4,Tuesday,False
2024-06-05,2024,2,6,June,23,5,Wednesday,False
2024-06-06,2024,2,6,June,23,6,Thursday,False
2024-06-07,2024,2,6,June,23,7,Friday,False
2024-06-08,2024,2,6,June,23,8,Saturday,True
2024-06-09,2024,2,6,June,23,9,Sunday,True
2024-06-10,2024,2,6,June,24,10,Monday,False
2024-06-11,2024,2,6,June,24,11,Tuesday,False
2024-06-12,2024,2,6,June,24,12,Wednesday,False
2024-06-13,2024,2,6,June,24,13,Thursday,False
2024-06-14,2024,2,6,June,24,14,Friday,False
2024-06-15,2024,2,6,June,24,15,Saturday,True
2024-06-16,2024,2,6,June,24,16,Sunday,True
2024-06-17,2024,2,6,June,25,17,Monday,False
2024-06-18,2024,2,6,June,25,18,Tuesday,False
2024-06-19,2024,2,6,June,25,19,Wednesday,False
2024-06-20,2024,2,6,June,25,20,Thursday,False
2024-06-21,2024,2,6,June,25,21,Friday,False
2024-06-22,2024,2,6,June,25,22,Saturday,True
2024-06-23,2024,2,6,June,25,23,Sunday,True
2024-06-24,2024,2,6,June,26,24,Monday,False
2024-06-25,2024,2,6,June,26,25,Tuesday,False
2024-06-26,2024,2,6,June,26,26,Wednesday,False
2024-06-27,2024,2,6,June,26,27,Thursday,False
2024-06-28,2024,2,6,June,26,28,Friday,False
2024-06-29,2024,2,6,June,26,29,Saturday,True
2024-06-30,2024,2,6,June,26,30,Sunday,True
2024-07-01,2024,3,7,July,27,1,Monday,False
2024-07-02,2024,3,7,July,27,2,Tuesday,False
2024-07-03,2024,3,7,July,27,3,Wednesday,False
2024-07-04,2024,3,7,July,27,4,Thursday,False
2024-07-05,2024,3,7,July,27,5,Friday,False
2024-07-06,2024,3,7,July,27,6,Saturday,True
2024-07-07,2024,3,7,July,27,7,Sunday,True
2024-07-08,2024,3,7,July,28,8,Monday,False
2024-07-09,2024,3,7,July,28,9,Tuesday,False
2024-07-10,2024,3,7,July,28,10,Wednesday,False
2024-07-11,2024,3,7,July,28,11,Thursday,False
2024-07-12,2024,3,7,July,28,12,Friday,False
2024-07-13,2024,3,7,July,28,13,Saturday,True
2024-07-14,2024,3,7,July,28,14,Sunday,True
2024-07-15,2024,3,7,July,29,15,Monday,False
2024-07-16,2024,3,7,July,29,16,Tuesday,False
2024-07-17,2024,3,7,July,29,17,Wednesday,False
2024-07-18,2024,3,7,July,29,18,Thursday,False
2024-07-19,2024,3,7,July,29,19,Friday,False
2024-07-20,2024,3,7,July,29,20,Saturday,True
2024-07-21,2024,3,7,July,29,21,Sunday,True
2024-07-22,2024,3,7,July,30,22,Monday,False
2024-07-23,2024,3,7,July,30,23,Tuesday,False
2024-07-24,2024,3,7,July,30,24,Wednesday,False
2024-07-25,2024,3,7,July,30,25,Thursday,False
2024-07-26,2024,3,7,July,30,26,Friday,False
2024-07-27,2024,3,7,July,30,27,Saturday,True
2024-07-28,2024,3,7,July,30,28,Sunday,True
2024-07-29,2024,3,7,July,31,29,Monday,False
2024-07-30,2024,3,7,July,31,30,Tuesday,False
2024-07-31,2024,3,7,July,31,31,Wednesday,False
2024-08-01,2024,3,8,August,31,1,Thursday,False
2024-08-02,2024,3,8,August,31,2,Friday,False
2024-08-03,2024,3,8,August,31,3,Saturday,True
2024-08-04,2024,3,8,August,31,4,Sunday,True
2024-08-05,2024,3,8,August,32,5,Monday,False
2024-08-06,2024,3,8,August,32,6,Tuesday,False
2024-08-07,2024,3,8,August,32,7,Wednesday,False
2024-08-08,2024,3,8,August,32,8,Thursday,False
2024-08-09,2024,3,8,August,32,9,Friday,False
2024-08-10,2024,3,8,August,32,10,Saturday,True
2024-08-11,2024,3,8,August,32,11,Sunday,True
2024-08-12,2024,3,8,August,33,12,Monday,False
2024-08-13,2024,3,8,August,33,13,Tuesday,False
2024-08-14,2024,3,8,August,33,14,Wednesday,False
2024-08-15,2024,3,8,August,33,15,Thursday,False
2024-08-16,2024,3,8,August,33,16,Friday,False
2024-08-17,2024,3,8,August,33,17,Saturday,True
2024-08-18,2024,3,8,August,33,18,Sunday,True
2024-08-19,2024,3,8,August,34,19,Monday,False
2024-08-20,2024,3,8,August,34,20,Tuesday,False
2024-08-21,2024,3,8,August,34,21,Wednesday,False
2024-08-22,2024,3,8,August,34,22,Thursday,False
2024-08-23,2024,3,8,August,34,23,Friday,False
2024-08-24,2024,3,8,August,34,24,Saturday,True
2024-08-25,2024,3,8,August,34,25,Sunday,True
2024-08-26,2024,3,8,August,35,26,Monday,False
2024-08-27,2024,3,8,August,35,27,Tuesday,False
2024-08-28,2024,3,8,August,35,28,Wednesday,False
2024-08-29,2024,3,8,August,35,29,Thursday,False
2024-08-30,2024,3,8,August,35,30,Friday,False
2024-08-31,2024,3,8,August,35,31,Saturday,True
2024-09-01,2024,3,9,September,35,1,Sunday,True
2024-09-02,2024,3,9,September,36,2,Monday,False
2024-09-03,2024,3,9,September,36,3,Tuesday,False
2024-09-04,2024,3,9,September,36,4,Wednesday,False
2024-09-05,2024,3,9,September,36,5,Thursday,False
2024-09-06,2024,3,9,September,36,6,Friday,False
2024-09-07,2024,3,9,September,36,7,Saturday,True
2024-09-08,2024,3,9,September,36,8,Sunday,True
2024-09-09,2024,3,9,September,37,9,Monday,False
2024-09-10,2024,3,9,September,37,10,Tuesday,False
2024-09-11,2024,3,9,September,37,11,Wednesday,False
2024-09-12,2024,3,9,September,37,12,Thursday,False
2024-09-13,2024,3,9,September,37,13,Friday,False
2024-09-14,2024,3,9,September,37,14,Saturday,True
2024-09-15,2024,3,9,September,37,15,Sunday,True
2024-09-16,2024,3,9,September,38,16,Monday,False
2024-09-17,2024,3,9,September,38,17,Tuesday,False
2024-09-18,2024,3,9,September,38,18,Wednesday,False
2024-09-19,2024,3,9,September,38,19,Thursday,False
2024-09-20,2024,3,9,September,38,20,Friday,False
2024-09-21,2024,3,9,September,38,21,Saturday,True
2024-09-22,2024,3,9,September,38,22,Sunday,True
2024-09-23,2024,3,9,September,39,23,Monday,False
2024-09-24,2024,3,9,September,39,24,Tuesday,False
2024-09-25,2024,3,9,September,39,25,Wednesday,False
2024-09-26,2024,3,9,September,39,26,Thursday,False
2024-09-27,2024,3,9,September,39,27,Friday,False
2024-09-28,2024,3,9,September,39,28,Saturday,True
2024-09-29,2024,3,9,September,39,29,Sunday,True
2024-09-30,2024,3,9,September,40,30,Monday,False
2024-10-01,2024,4,10,October,40,1,Tuesday,False
2024-10-02,2024,4,10,October,40,2,Wednesday,False
2024-10-03,2024,4,10,October,40,3,Thursday,False
2024-10-04,2024,4,10,October,40,4,Friday,False
2024-10-05,2024,4,10,October,40,5,Saturday,True
2024-10-06,2024,4,10,October,40,6,Sunday,True
2024-10-07,2024,4,10,October,41,7,Monday,False
2024-10-08,2024,4,10,October,41,8,Tuesday,False
2024-10-09,2024,4,10,October,41,9,Wednesday,False
2024-10-10,2024,4,10,October,41,10,Thursday,False
2024-10-11,2024,4,10,October,41,11,Friday,False
2024-10-12,2024,4,10,October,41,12,Saturday,True
2024-10-13,2024,4,10,October,41,13,Sunday,True
2024-10-14,2024,4,10,October,42,14,Monday,False
2024-10-15,2024,4,10,October,42,15,Tuesday,False
2024-10-16,2024,4,10,October,42,16,Wednesday,False
2024-10-17,2024,4,10,October,42,17,Thursday,False
2024-10-18,2024,4,10,October,42,18,Friday,False
2024-10-19,2024,4,10,October,42,19,Saturday,True
2024-10-20,2024,4,10,October,42,20,Sunday,True
2024-10-21,2024,4,10,October,43,21,Monday,False
2024-10-22,2024,4,10,October,43,22,Tuesday,False
2024-10-23,2024,4,10,October,43,23,Wednesday,False
2024-10-24,2024,4,10,October,43,24,Thursday,False
2024-10-25,2024,4,10,October,43,25,Friday,False
2024-10-26,2024,4,10,October,43,26,Saturday,True
